product_sku,product_name,sales_date,sales_year,sales_month,total_quantity
DISNEY-T-SHIRT-01-2-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์01-2👤(สีดำ ไซส์ F),2025-10-01,2025,10,8
DISNEY-T-SHIRT-01-2-BK-MINI,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์01-2👤(สีดำ ไซส์ MINI),2025-10-01,2025,10,4
DISNEY-T-SHIRT-01-2-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์01-2👤(สีขาว ไซส์ F),2025-10-01,2025,10,10
DISNEY-T-SHIRT-01-2-WH-MINI,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์01-2👤(สีขาว ไซส์ MINI) (T-Shirt),2025-10-01,2025,10,4
DISNEY-T-SHIRT-02-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์02🧵(สีดำ ไซส์ F),2025-10-01,2025,10,4
DISNEY-T-SHIRT-02-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์02🧵(สีขาว ไซส์ F),2025-10-01,2025,10,5
DISNEY-T-SHIRT-03-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์03🚖(สีดำ ไซส์ F),2025-10-01,2025,10,7
DISNEY-T-SHIRT-03-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์03🚖(สีขาว ไซส์ F),2025-10-01,2025,10,8
DISNEY-T-SHIRT-04-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์04⚡(สีดำ ไซส์ F),2025-10-01,2025,10,9
DISNEY-T-SHIRT-04-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์04⚡(สีขาว ไซส์ F),2025-10-01,2025,10,10
DISNEY-T-SHIRT-05-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์05🏄(สีดำ ไซส์ F),2025-10-01,2025,10,9
DISNEY-T-SHIRT-05-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์05🏄(สีขาว ไซส์ F),2025-10-01,2025,10,9
DISNEY-T-SHIRT-06-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์06🤠(สีดำ ไซส์ F),2025-10-01,2025,10,7
DISNEY-T-SHIRT-06-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์06🤠(สีขาว ไซส์ F),2025-10-01,2025,10,8
DISNEY-T-SHIRT-07-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์07🕹️(สีดำ ไซส์ F),2025-10-01,2025,10,9
DISNEY-T-SHIRT-07-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์07🕹️(สีขาว ไซส์ F),2025-10-01,2025,10,9
DLS-127-777-PI-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DLS-127-777 ลาย Stitch (เสื้อแขนสั้น ขายาว สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DLS-127-777-PP-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DLS-127-777 ลาย Stitch (เสื้อแขนสั้น ขายาว สีม่วง ฟรีไซส์),2025-10-01,2025,10,0
DLS-127-777-YE-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DLS-127-777 ลาย Stitch (เสื้อแขนสั้น ขายาว สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DLS-127-800-BU-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนสั้น-ขาสั้น)สีฟ้า,2025-10-01,2025,10,0
DLS-127-800-CR-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนสั้น-ขาสั้น)สีครีม,2025-10-01,2025,10,0
DLS-127-800-GE-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนสั้น-ขาสั้น)สีเขียว,2025-10-01,2025,10,0
DLS-127-800-PI-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนสั้น-ขาสั้น)สีชมพู,2025-10-01,2025,10,0
DLS-127-801-BU-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนสั้น-ขายาว)สีฟ้า,2025-10-01,2025,10,0
DLS-127-801-CR-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนสั้น-ขายาว)สีครีม,2025-10-01,2025,10,0
DLS-127-801-GE-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนสั้น-ขายาว)สีเขียว,2025-10-01,2025,10,0
DLS-127-801-PI-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนสั้น-ขายาว)สีชมพู,2025-10-01,2025,10,0
DLS-127-802-BU-F,(Lite) ชุดนอน Disney Lilo & Stitch DLS-127 ลายสติทช์ (แขนยาว-ขายาว)สีฟ้า,2025-10-01,2025,10,0
